Product,Batch no.,PO,Line,Mill,RFT-ext.,RFT-Mill,Dosing,Suggestion Side feed,HT1,HT2,HT3,HT4,HT5,Screw speed,Torque,Outlet temp,Throughput ext.(kg/h),Feed,Sep.,Rotor,Air flow,Inlet temp.,Outlet temp.,FG. temp.,Throughput mill (kg/h)
P90405TN,3B14004011,P3B140303300,3,4,,/,0,15,30,47,57,78,79,500,36,,0,350,1050,2800,65,,,,0
GA004TH,3B14007001,P3B140303600,7,10,,/,0,20,32,52,82,84,82,650,51,,948,400,500,2600,98,,,,666.67
MA004TH,3B14007007,P3B140304000,7,10,,/,0,12,32,52,85,84,78,500,43,,279.6352584,400,450,2600,98,,,,216.2752594
GA203PB,3B14008002,P3B140304500,10,12,/,/,0,,,,,,,,,,0,500,1200,2800,65,,,,0
S5235PA,3B14009011,P3B140403800,10,12,/,/,0,,,,,,,,,,780,500,1250,3000,65,,,,0
S5235PB,3B14009012,P3B140403900,10,12,,/,0,,,,,,,,,,0,600,1200,3000,65,,,,0
P20320AN,3B14003012,P3B140501800,9,9,/,/,20,,62,81,78,,,500,47,,156.8573207,10,1120,3645,60,,,,0
GA203PA,3B14008001,P3B141400500,10,12,,,0,,,,,,,,,,552,500,1200,2800,65,,,,86.76923077
M10080AN,3B13349016,P3B135009500,3,3,/,,0,20,30,50,81,80,80,650,52,,0,500,1000,2800,65,,,,0
P10001AN,3B14003010,P3B140204000,1,2,,/,0,15,34,55,80,100,103,500,56,,0,600,420,2800,98,,,,600
Y5254PA,3B14009009,P3B140205300,10,12,,/,0,,,,,,,,,,156,500,1350,3000,65,,,,
S2213PABD,3B13361019,P3B140302000,3,4,,/,0,20,30,51,81,80,82,650,39,,0,500,1000,2800,65,,,,
S2213PBBD,3B13361020,P3B140302100,3,4,/,/,0,20,30,50,81,79,83,650,40,,30.57974092,500,950,2800,65,,,,0
Y5217PA,3B14005005,P3B140401600,3,4,/,/,0,20,30,50,80,80,81,650,42,,216,400,1150,3000,65,,,,216
Y5217PB,3B14005006,P3B140401700,3,4,,/,0,20,31,50,80,80,81,650,40,,180,400,1150,3000,65,,,,180
JA004TH,3B14007012,P3B140401900,7,10,/,/,0,22,31,53,85,85,79,650,52,,1050,600,440,2800,98,,,,560
E5101PI,3B14009002,P3B140403200,10,12,,/,20,100,,50,,,,300,48,,376.0674313,500,950,3000,65,,,,340
P91426WN,3B14003006,P3B141000200,8,13,,/,0,15,29,49,61,79,82,650,41,,321.8685832,10,1100,3645,60,,,,46.66666667
M70094AN,3B13361010,P3B135106200,9,9,/,/,15,,55,79,79,,,500,45,,0,10,1100,3645,60,,,,0
M54088AN,3B13355022,P3B140107800,2,3,,/,0,,,,,,,,,,444.7058824,600,1100,2800,65,,,,760
