Product,Batch no.,PO,Line,Mill,RFT-ext.,RFT-Mill,Dosing,Suggestion Side feed,HT1,HT2,HT3,HT4,HT5,Screw speed,Torque,Outlet temp,Throughput ext.(kg/h),Feed,Sep.,Rotor,Air flow,Inlet temp.,Outlet temp.,FG. temp.,Throughput mill (kg/h)
YI201PB,3B14079003,P3B141306700,10,12,/,/,15,100,,55,,,,300,52,,315,,,,,,,,121.9099221
R91478WN,3B14072018,P3B141110200,8,13,,/,0,18,31,50,61,81,85,650,52,,290.478752,,,,,,,,601.6042781
M10136AN,3B14078011,P3B141207700,3,4,,/,0,,,,,,,,,,436.0220812,350,1050,2800,65,,,,0
M90079AN,3B14072026,P3B141303900,11,14,,/,0,18,31,51,80,82,82,500,52,,528,,,,,,,,
SI319TH,3B14073012,P3B141304600,2,9,,,18,,37,69,83,,,500,50,,0,400,1040,3000,65,,,,152.4283935
YD300TH,3B14074010,P3B141304800,8,13,,,0,20,32,50,60,80,85,550,54,,0,,,,,,,,449.5042233
SM314TH,3B14077010,P3B141305600,2,3,,,0,,,,,,,,,,0,400,1400,3000,65,,,,105.7142857
Y5209PA,3B14082001,P3B141307400,10,12,/,/,0,,,73,,,,300,52,,0,400,1160,2800,60,,,,261.9769557
Y5209PB,3B14082002,P3B141307500,10,12,/,/,0,,,72,,,,300,52,,0,400,1160,2800,60,,,,0
YN309TH,3B14070003,P3B141401600,1,2,,,0,8,31,51,62,78,83,500,38,,517.0998632,600,290,2800,98,,,,1380
R10140XN,3B14071006,P3B141401800,1,2,/,/,0,,,,,,,,,,714,600,330,2800,98,,,,630
S00007BN,3B14078010,P3B141500300,7,10,/,,0,20,31,51,82,84,84,550,52,,1008,,,,,,,,1039.210969
P40187AN,3B14078025,P3B141600500,9,9,,/,20,,50,85,82,,,500,51,,172.5,,,,,,,,172.5
P91486AN,3B14078006,P3B141110600,7,10,,,0,27,31,52,82,84,85,550,56,,1193.765889,,,,,,,,628.5714286
PI05002AN,3B14078012,P3B141207800,7,10,,/,0,18,31,51,82,83,85,550,51,,0,,,,,,,,400
R91478WN,3B14081009,P3B141209200,8,13,/,/,0,,,,,,,,,,637.1681416,10,1180,3645,60,,,,520.79566
M10080AN,3B14074006,P3B141304700,3,4,,,0,,,,,,,,,,284.2105263,,,,,,,,0
S40168AN,3B14079010,P3B141307000,9,9,/,/,20,,79,89,82,,,500,34,,85.20710059,,,,,,,,0
M64501AN,3B14081003,P3B141307100,2,9,,,12,,51,80,102,,,500,30,,90.56603774,500,980,2800,65,,,,99.95116847
M91280AN,3B14067020,P3B141401400,8,14,/,/,0,15,30,50,81,100,100,500,43,,424.7191011,,,,,,,,52.44373225
M10103TN,3B14072015,P3B141402000,1,2,,,0,,,,,,,,,,525,400,420,3000,98,,,,419.0106693
SI318TH,3B14079017,P3B141404100,2,3,,/,0,,,,,,,,,,0,400,1020,2800,65,,,,165.9333752
P40151AN,3B14079011,P3B141500600,9,9,,/,15,,56,83,79,,,500,51,,149.6259352,10,1350,3645,60,,,,0
Y5256PA,3B14081001,P3B141501700,10,12,/,,0,,,,,,,,,,85,400,1050,2800,65,,,,85
JA004TH,3B14077001,P3B141011500,7,10,/,/,0,22,31,51,65,65,74,550,52,,1008,,,,,,,,600
JN195V,3B14064015,P3B141300600,1,2,,/,0,12,32,52,81,85,84,650,40,,768.0585187,600,220,2800,98,,,,600
R10084CN,3B14072019,P3B141402100,1,2,/,/,0,12,33,52,82,83,84,650,43,,1160.41979,500,330,2700,98,,,,957.2622461
S18039FN,3B14078013,P3B141403300,1,2,,/,0,16,32,52,81,81,80,500,50,,876.5217391,,,,,,,,640
EI202TH,3B14079015,P3B141403900,9,9,,,20,100,,55,,,,300,52,,570,,,,,,,,
M91475AN,3B14081016,P3B141404700,8,14,,/,0,20,30,51,80,81,80,500,52,,413.3738602,,,,,,,,397.1978984
S2236PABD,3B14085004,P3B141405300,10,12,/,,20,110,,100,,,,400,50,,,,,,,,,,242.6966292
M91475AN,3B14086010,P3B141700400,10,12,/,/,0,20,30,50,81,80,82,500,52,,0,,,,,,,,0
M00120TN,3B14079009,P3B141208200,8,13,,/,0,15,30,49,60,82,83,550,37,,370.8950419,,,,,,,,
P89911IN,3B14079006,P3B141306800,2,3,,,0,,,,,,,,,,0,400,1200,2800,65,,,,381.8923645
JA004TH,3B14081007,P3B141307200,7,10,/,,0,22,32,52,65,65,78,550,53,,653.3333333,,,,,,,,1625.130415
P91035BN,3B14086005,P3B141308200,10,14,,/,0,10,30,51,81,100,100,500,43,,420,,,,,,,,0
P91187AN,3B14079016,P3B141404000,2,3,,,0,,,,,,,,,,0,400,1280,2800,65,,,,0
MZ301TH,3B14081012,P3B141404500,9,9,,/,18,,61,78,79,,,500,51,,400,,,,,,,,114.2857143
P91468AN,3B14081015,P3B141404600,10,12,,/,0,,,,,,,,,,0,500,980,2800,65,,,,0
MZ314TH,3B14081020,P3B141405000,9,9,,/,0,,,,,,,,,,0,10,1350,3645,60,,,,0
JN195V,3B14088019,P3B141800300,1,2,,,0,12,32,52,82,83,82,650,41,,685,350,310,2800,98,,,,580
YN100G,3B14072013,P3B141110000,1,2,,/,0,,,,,,,,,,1913.640824,600,250,2800,98,,,,
J5004PIBD,3B14080005,P3B141208500,10,12,,,0,20,30,51,80,81,81,650,50,,0,400,1080,2800,65,,,,300.8571429
P50806BN,3B14080010,P3B141404200,2,3,,/,0,,,,,,,,,,0,500,1100,2800,65,,,,0
S50467WN,3B14081017,P3B141404800,2,3,,,0,,,,,,,,,,1733.711048,600,950,3000,65,,,,218.6972663
YY300PI,3B14082006,P3B141502200,9,9,/,/,0,,,,,,,,,,133.5115269,10,1450,3645,60,,,,133.5115269
JN203PB,3B14071002,P3B141011400,3,4,/,/,0,,,,,,,,,,0,500,620,2600,65,,,,0
YN100G,3B14072014,P3B141206100,1,2,/,/,0,,,,,,,,,,875,600,250,2800,98,,,,460
YN304V,3B14077006,P3B141305200,1,2,,/,0,10,33,51,60,78,83,500,38,,693.8792993,,,,,,,,600
JN201PA,3B14086001,P3B141405600,3,4,,/,0,,,,,,,,,,0,500\\400,1250,2600,65,,,,375.6113466
GM208PB,3B14088010,P3B141407600,10,12,/,/,15,100,,55,,,,300,51,,176.4040709,,,,,,,,176.4040709
MN217PA,3B14080006,P3B141208600,3,4,/,/,0,,,,,,,,,,440,400,1160,3000,65,,,,112.3829344
S10134TN,3B14084010,P3B141209700,2,3,,/,0,,,,,,,,,,92.30769231,400,1300,2800,65,,,,201.9844082
P10001WN,3B14084006,P3B141307800,2,3,,/,0,,,,,,,,,,217.9930796,500,920,3000,65,,,,124.341594
JN201PB,3B14086002,P3B141405700,3,4,,,0,,,,,,,,,,313.5712279,400,750,2600,65,,,,0
GM208PA,3B14088009,P3B141407500,10,12,/,/,15,100,,54,,,,300,52,,260,,,,,,,,0
YN000TH,3B14085012,P3B141503100,3,4,/,/,0,,,,,,,,,,172,400,1160,3000,65,,,,172
GI106TH,3B14087030,P3B141504600,10,12,,,0,,,,,,,,,,230,400,1300,2800,65,,,,390.3409091
GN212PA,3B14088011,P3B141602000,3,4,/,,0,,,,,,,,,,213.4990116,400,1150,3000,65,,,,81.08108108
GN212PB,3B14088012,P3B141602100,3,4,/,,0,,,,,,,,,,128.1355932,500,1000,3000,65,,,,78.9733465
SI221PA,3B14088015,P3B141602300,10,12,/,/,16,100,,50,,,,300,50,,506.6666667,500,1150,2800,65,,,,0
GN101TH,3B14079007,P3B141208100,1,2,,/,0,12,33,49,79,80,85,650,37,,875,500,330,3000,98,,,,440
GN101TH,3B14079008,P3B141306900,1,2,/,/,0,12,31,50,78,81,83,650,38,,971.2928988,500,300,3000,98,,,,480
S91191DN,3B14087013,P3B141308500,2,3,/,,0,,,,,,,,,,0,400,1020,2800,65,,,,0
GI307TH,3B14081011,P3B141209300,3,3,,,0,15,30,48,56,76,84,550,53,,342.8571429,350,1440,3000,65,,,,29.49579832
P10153DN,3B14084004,P3B141307700,1,2,,,0,12,33,50,82,82,84,650,38,,840,600,255,2600,98,,,,1220
GI215PA,3B14088005,P3B141407100,3,4,,/,0,,,,,,,,,,98.18181818,400,1020,3000,65,,,,0
GI215PB,3B14088006,P3B141407200,3,4,/,,0,,,,,,,,,,0,400,930,3000,65,,,,169.4524496
P91293AN,3B14087026,P3B141504200,3,3,,,0,18,34,50,84,101,98,500,43,,0,10,1200,3645,60,,,,0
S91506FN,3B14087031,P3B141504700,2,3,,,0,,,,,,,,,,0,400,1200,2800,65,,,,0
YN101TH,3B14091007,P3B141506200,1,2,/,,0,13,32,51,85,84,84,650,51,,694.28,400,400,3000,98,,,,435.8609133
SI320TH,3B14087035,P3B141601500,9,9,,/,10,,47,53,78,,,500,32,,0,10,1300,3645,60,,,,0
GI104TH,3B14087023,P3B141504000,3,4,/,/,0,,,,,,,,,,223.7837838,500,1050,3000,65,,,,330
P70814XN,3B14088029,P3B141505700,3,3,,/,0,,,,,,,,,,0,400,950,2600,65,,,,74.9219563
YN204PB,3B14079005,P3B141500500,3,4,,/,0,15,30,49,76,80,82,650,36,,1000,500,1100,2800,65,,,,0
P98096BN,3B14086009,P3B141503500,10,12,,/,0,,,,,,,,,,,400,1280,3000,65,,,,
M74156AN,3B14080012,P3B141404300,8,13,,,0,,30,50,80,80,80,32,,,188.5714286,10,1200,3645,60,,,,0
YN204PA,3B14079004,P3B141500400,3,4,,,0,17,30,49,80,101,101,500,36,,211.255208,500,1100,2800,65,,,,780
M54023AN,3B14092010,P3B141506700,2,3,,,0,,,,,,,,,,0,400,1100,2950,65,,,,0
GI204PA,3B14093001,P3B141701200,3,4,/,/,0,,,,,,,,,,,500,1100,2800,65,,,,175.7797376
GI204PB,3B14093002,P3B141701300,3,4,,,0,,,,,,,,,,0,500,1000,2800,65,,,,86.8921018
S18001FN,3B14085008,P3B141405500,1,2,/,,0,,,,,,,,,,1008,600,315,2450,98,,,,560
E5101PI,3B14088002,P3B141406800,10,12,,/,0,,,50,,,,300,46,,808.4437458,500,1050,2800,65,,,,408
P10152WN,3B14089004,P3B141408300,1,2,/,,0,17,32,52,63,82,83,650,51,,1350,600,280,2800,98,,,,440
M2100PIBD,3B14092001,P3B141408600,10,12,/,,0,,,,,,,,,,0,400,1300,2800,65,,,,340
S98023DN,3B14085003,P3B141502700,10,9,,,20,,,50,,,,300,48,,1252.173913,400,1000,2800,65,,,,0
M91473CN,3B14093012,P3B141603300,3,4,/,,0,,,,,,,,,,0,600,950,2450,65,,,,0
S60818WN,3B14084009,P3B141209600,2,3,,,0,,,,,,,,,,0,600,1000,2800,65,,,,218.321098
P91223AN,3B14088023,P3B141407900,11,14,,,0,,,,,,,,,,1998.678123,10,1400,3757,60,,,,450
YN304V,3B14094003,P3B141409000,1,2,,/,0,15,32,50,65,83,84,500,52,,451.3792143,600,240,2800,98,,,,1649.783425
MZ316TH,3B14087025,P3B141504100,8,9,,/,12,,47,54,81,,,500,38,,48,10,1320,3645,60,,,,48
GI107TH,3B14087039,P3B141505200,10,12,,/,0,,,50,,,,300,52,,370.5882353,400,1300,2800,65,,,,244
S60582AN,3B14092008,P3B141506500,2,3,,,0,,,,,,,,,,0,,,,,,,,344.16826
R91463BN,3B14094019,P3B141603900,10,12,/,,0,,,100,,,,400,52,,0,400,1200,2800,65,,,,0
M10092AN,3B14092002,P3B141701000,1,2,,,0,17,32,52,85,82,83,500,52,,1508.01131,500,390,3000,98,,,,599.6668517
MJ201TH,3B14094004,P3B141701500,3,3,,,0,25,31,52,81,81,80,500,54,,0,400,1270,2800,65,,,,0
GI105TH,3B14087029,P3B141504500,2,9,,/,0,12,30,30,52,49,49,500,36,,128.8888889,400,1200,3000,65,,,,216
GI307TH,3B14099003,P3B141507800,3,4,,/,0,,,,,,,,,,,350,1380,3000,65,,,,1590.697674
P60805AN,3B14088026,P3B141602700,2,3,/,,0,,,,,,,,,,0,500,1260,2800,65,,,,0
S91521DN,3B14094016,P3B141603800,10,12,,,18,100,,50,,,,300,50,,336,600,1050,2450,65,,,,0
S00823AN,3B14100007,P3B141703700,7,10,,/,0,,,,,,,,,,,500,480,2800,98,,,,0
ALZ44TH,3B14099002,P3B141507700,3,4,/,,0,,,,,,,,,,420,350,750,2450,65,,,,412.8225176
SI228PB,3B14089003,P3B141408200,3,3,,,0,,,,,,,,,,0,400,1230,2800,65,,,,
R10116DN,3B14093011,P3B141603200,1,2,,/,0,12,31,53,80,80,82,650,40,,923.9081495,600,440,2500,98,,,,0
S91510FN,3B14094015,P3B141603700,2,3,,/,0,,,,,,,,,,0,500,1050,2800,65,,,,0
PI50808CN,3B14087010,P3B141700700,2,3,/,,0,,,,,,,,,,0,500,1040,2800,65,,,,257.1428571
R91185DN,3B14101009,P3B141704900,2,3,,,0,13,30,49,80,80,80,500,37,,0,,,,,,,,0
R10116DN,3B14102028,P3B141803200,1,2,/,/,0,12,31,50,80,80,84,650,41,,866.6666667,500,400,2500,98,,,,
M10087BN,3B14101002,P3B141704400,1,2,,,0,15,32,53,85,83,83,650,52,,1012.5,500,270,2800,98,,,,
S91503XN,3B14101010,P3B141705000,2,3,/,/,0,26,30,50,50,51,53,500,51,,658.6278586,,,,,,,,0
YY23NPI,3B14100021,P3B141508400,3,4,/,,0,,,,,,,,,,119.0440403,400,1200,3000,65,,,,119.0440403
S91191DN,3B14101001,P3B141508500,2,3,/,,0,12,30,50,79,80,78,500,30,,1187.139324,400,1080,2500,65,,,,0
Y5233PABD,3B14096001,P3B141703000,3,4,/,/,0,20,31,51,79,80,81,650,39,,,500,1230,2800,65,,,,0
Y5233PBBD,3B14096002,P3B141703100,3,4,/,/,0,20,31,54,76,78,84,650,34,,0,500,1120,2800,65,,,,0
S5230PA,3B14101013,P3B141801400,3,4,,/,0,,,,,,,,,,0,,,,,,,,0
S5230PB,3B14101014,P3B141801500,3,4,,/,0,20,30,50,80,80,80,650,43,,0,400,1200,2800,65,,,,
LN207TH,3B14093006,P3B141507100,1,2,,,0,14,30,50,80,80,80,650,52,,902.5069638,,,,,,,,457.215431
S91282WN,3B14100011,P3B141704000,8,13,/,/,0,20,30,51,60,78,80,500,46,,0,10,1150,3645,60,,,,0
M70460CN,3B14100014,P3B141704300,8,13,,,0,14,30,50,80,81,80,500,56,,0,10,1150,3645,60,,,,
R91132AN,3B14087043,P3B141308700,11,14,/,,0,,30,50,80,80,81,550,53,,467.5324675,5,1420,3757,60,,,,
JN203PA,3B14094001,P3B141507500,2,3,/,/,0,15,30,51,76,77,76,550,38,,0,500,1200,2800,65,,,,0
JN203PB,3B14094002,P3B141507600,2,3,,/,0,15,30,50,80,79,80,550,42,,248.0826942,500,520,2400,65,,,,0
M50228CN,3B14100012,P3B141704100,2,3,,,0,,,,,,,,,,0,,,,,,,,0
YN100G,3B14102024,P3B141705700,1,2,/,/,0,14,33,51,82,81,83,650,52,,900,600,270,2800,98,,,,0
P91469AN,3B14100006,P3B141801000,2,3,,,0,,,,,,,,,,293.7443336,500,1120,2800,65,,,,0
S91317WN,3B14088022,P3B141407800,3,4,,/,0,30,30,50,60,80,80,550,32,,1879.03894,600,840,2800,65,,,,0
SY237PA,3B14099010,P3B141604200,10,11,/,/,20,100,,50,,,,300,52,,0,15,35,,,,,,
SY237PB,3B14099011,P3B141604300,10,11,/,/,0,,,50,,,,300,55,,0,15,30,,,,,,
P90340DN,3B14100008,P3B141703800,10,11,,/,0,,,50,,,,300,51,,883.9285714,20,28,,,,,,
R91513WN,3B14100013,P3B141704200,3,4,,,0,25,30,50,60,80,80,550,45,,176,300,1100,3000,65,,,,0
GA203PA,3B14113004,P3B141706300,8,13,/,/,0,22,30,50,80,100,100,500,55,,,10,1220,3645,60,,,,0
GA203PB,3B14113005,P3B141706400,8,13,,/,0,,,,,,,,,,0,10,1220,3645,60,,,,13.64361702
P00000AC,3B14094009,P3B141701900,11,14,,,0,14,30,50,51,52,51,500,52,,420,8,1500,3757,60,,,,85.07462687
R91479WN,3B14102003,P3B141705300,3,4,,,0,,,,,,,,,,2000,450,970,3000,65,,,,880
YN101TH,3B14112006,P3B141803900,1,2,/,,0,13,32,50,84,82,83,650,51,,820,400,400,3000,98,,,,660
MN217PA,3B14113001,P3B141804100,1,2,/,/,0,12,32,51,81,82,83,650,40,,840,500,420,2800,98,,,,432
MN217PB,3B14113002,P3B141804200,1,2,/,/,0,12,32,51,82,84,83,650,40,,840,,,,,,,,796.460177
M54005AN,3B14102021,P3B141900200,2,3,/,,0,14,30,50,79,99,100,500,43,,,150,,,65,,,,120.5828169
R10093XN,3B14100004,P3B141604400,1,2,/,/,0,11,,50,50,50,50,500,49,,757.8947368,500,310,3000,98,,,,720
S5205PB,3B14113011,P3B141706800,9,9,,/,18,,43,55,78,,,500,50,,0,10,1300,3645,60,,,,27.19444025
M90126BN,3B14115010,P3B141903000,10,11,,/,30,120,,55,,,,500,51,,528.2280604,20,26.5,,,,,,
S98053DN,3B14113022,P3B141804800,10,11,,/,20,100,,50,,,,300,50,,465,20,32.5,,,,,,
GN150TH,3B14112011,P3B141900600,2,3,,,0,8,30,54,80,80,80,650,24,,88.06740962,500,1150,3000,65,,,,401.5989588
S91511FN,3B14112012,P3B141900700,2,3,/,/,0,,,,,,,,,,0,500,1130,2800,65,,,,0
MM400TH,3B14102012,P3B141705400,3,3,,,0,20,30,50,60,80,80,650,36,,,500,1050,3000,65,,,,305.0847458
P00318AN,3B14102023,P3B141705600,7,10,/,,0,16,31,50,84,83,82,500,45,,687.2727273,500,450,2800,98,,,,0
S70826BN,3B14113019,P3B141804600,10,11,,/,25,110,,50,,,,400,50,,348.6315789,20,38,,30,,,,
GI302TH,3B14112009,P3B141900400,3,4,,/,0,,,,,,,,,,,400,1010,3000,65,,,,83.05158904
P91223AN,3B14113016,P3B141901600,11,14,/,,0,15,30,50,50,50,50,500,52,,1780.21978,7,1300,3757,60,,,,1180
S5320PI,3B14114006,P3B141902100,8,13,,/,0,15,31,50,60,79,84,550,45,,0,5,1380,3645,60,,,,
M10092AN,3B14114011,P3B142300100,1,2,,,0,16,32,51,81,83,83,500,52,,1260,500,390,3000,98,,,,539.5728382
EA104TH,3B14095005,P3B141702700,8,13,/,,0,20,34,50,82,83,85,550,52,,0,10,1170,3645,60,,,,0
GD200PA,3B14113014,P3B141707100,10,11,/,/,0,,,55,,,,3OO,52,,0,20,45,,30,,,,
GD200PB,3B14113015,P3B141707200,10,11,,/,0,,,50,,,,300,52,,312,10,40,,30,,,,
MZ314TH,3B14119002,P3B142002200,9,9,,/,25,,30,50,80,,,500,55,,0,7,1550,3645,60,,,,
R70952PB,3B14113009,P3B141706600,3,4,,,0,15,30,50,80,80,80,550,30,,0,400,850,2600,65,,,,
EA010TH,3B14102027,P3B141803100,7,10,,/,0,14,30,50,84,100,105,500,42,,630,300,500,3000,98,,,,514.285
G5002PI,3B14113003,P3B141804300,10,9,,,15,110,,100,,,,400,50,,345,10,1380,3645,60,,,,0
GN208PA,3B14114003,P3B141805400,3,3,/,/,0,12,30,50,80,80,80,650,31,,0,600,1080,3000,65,,,,0
GM100TH,3B14112014,P3B141900900,3,4,,,0,25,30,50,80,80,80,650,52,,0,400,1180,3000,65,,,,0
R70952PA,3B14113008,P3B141706500,3,4,,/,0,15,30,57,80,81,79,550,33,,0,500,1100,2800,65,,,,
ME314V,3B14103004,P3B141803400,9,9,,,15,,51,61,78,,,500,38,,120.3141536,5,1400,3645,60,,,,66.80894498
P10057CN,3B14112005,P3B141803800,3,4,/,/,0,20,30,51,77,78,85,650,39,,0,,,,,,,,0
GI210PB,3B14114002,P3B141805300,2,3,/,/,0,22,30,50,80,80,80,650,50,,0,500,1200,3000,65,,,,0
GD001TH,3B14112013,P3B141900800,8,13,,,0,12,30,50,80,100,100,500,45,,88.57142857,5,1350,3645,60,,,,
P50185AN,3B14088025,P3B141308900,2,3,,,0,25,30,51,80,80,80,650,46,,0,500,1300,3000,65,,,,0
GN212PA,3B14113006,P3B141804400,3,3,,/,0,15,30,50,80,80,,500,47,,0,400,1120,3000,65,,,,0
GN212PB,3B14113007,P3B141804500,3,3,/,,0,15,30,50,80,80,80,500,49,,131.6003249,600,900,3000,65,,,,0
GI210PA,3B14114001,P3B141805200,2,3,/,,0,22,30,50,80,80,80,650,50,,0,500,1160,3000,65,,,,0
GN208PB,3B14114004,P3B141805500,3,3,/,/,0,12,29,47,79,80,81,650,31,,0,600,1080,3000,65,,,,307.1428571
JN049TH,3B14116010,P3B142001200,1,2,/,,0,14,30,50,80,80,80,500,52,,810,400,250,2800,98,,,,
LN207TH,3B14115008,P3B141902800,1,2,,/,0,11,31,52,80,83,83,500,42,,750.2857143,600,300,2600,98,,,,0
PI50627AN,3B14115018,P3B141903400,2,3,,,0,18,30,50,80,80,80,500,53,,302.4,600,1200,2800,65,,,,920
P91421WN,3B14115015,P3B141903300,3,4,,/,0,11,30,49,61,82,80,400,115.3,,170.1654386,,,,,,,,0
EN338TH,3B14119003,P3B142100900,1,2,,,0,12,31,51,60,80,82,500,47,,1420.718816,400,490,2800,98,,,,284.4341668
EI306TH,3B14114017,P3B141902500,3,4,,,0,15,30,49,61,80,85,500,37,,0,400,1190,2800,65,,,,
JN201PA,3B14117001,P3B141904100,1,2,/,/,0,13,30,50,80,80,80,650,40,,,600,480,2800,98,,,,440
JN201PB,3B14117002,P3B141904200,1,2,,,0,12,31,52,79,83,84,650,40,,0,600,180,2500,98,,,,0
GM304TH,3B14102025,P3B142000200,3,3,,,0,12,30,50,59,79,80,500,36,,219.1304348,400,1200,3000,65,,,,0
P50010AN,3B14094010,P3B141603400,2,3,/,/,0,14,30,50,80,80,100,650,39,,0,400,1030,2800,65,,,,274.0445487
MN305TH,3B14116002,P3B141806400,3,4,/,/,0,15,30,50,60,80,80,500,37,,0,400,1000,2800,65,,,,0
J2002PI,3B14114005,P3B141902000,3,4,,,0,10,30,50,80,100,100,400,43,,0,500,940,2800,65,,,,0
M64501AN,3B14116007,P3B141903700,9,9,/,,0,,,,,,,,,,0,10,1230,3378,60,,,,
R60830CN,3B14119009,P3B142002500,3,9,,,8,,30,50,80,,,500,32,,0,10,1300,3645,60,,,,
S70840FN,3B14114020,P3B142300200,3,4,,/,0,15,30,50,80,80,80,500,31,,,500,1000,2800,65,,,,1449.230769
M10087BN,3B14124008,P3B142300500,1,2,/,,0,16,33,51,83,84,82,650,52,,885.75,500,270,2800,98,,,,800
EN037TH,3B14091011,P3B141309500,1,2,,,0,,,,,,,,,,0,500,350,2800,98,,,,
YY23NPI,3B14123003,P3B141808800,3,4,,/,0,12,35,55,85,99,100,500,36,,104.6822147,400,1390,2800,65,,,,644.0938823
P00374AN,3B14114012,P3B141902200,7,10,/,/,0,11,30,50,80,100,100,500,42,,900,500,510,2800,98,,,,
JD301TH,3B14115009,P3B141902900,8,13,,,0,15,30,50,60,80,80,650,50,,,5,1100,3645,60,,,,
MJ201TH,3B14124012,P3B142102600,9,9,,,10,,30,50,80,,,500,35,,,8,1300,3645,60,,,,0
S2236PABD,3B14117003,P3B141806700,3,4,,/,0,12,30,50,80,80,80,500,30,,,400,1200,2800,65,,,,
S2236PBBD,3B14117004,P3B141806800,3,4,,/,0,12,30,50,80,80,80,500,31,,,400,1200,2800,65,,,,
M10092AN(IMP),3B14113020,P3B141901700,1,2,,,0,5,33,52,82,82,82,300,35,,1260,500,410,2800,98,,,,1540
M90726AN,3B14114016,P3B141902400,2,3,,,0,20,30,50,80,100,100,500,42,,420,15,38,,30,,,,
P10001AN,3B14120006,P3B141904400,1,2,,/,0,11,33,50,80,83,83,500,42,,784,500,380,2800,98,,,,1710
YN000TH,3B14122003,P3B142003900,3,4,/,/,0,25,30,50,80,80,80,650,52,,,400,1250,3000,65,,,,0
M91280AN,3B14099001,P3B141703200,10,11,,/,28,120,,100,,,,400,50,,560,15,35,,30,,,,
P00002AN,3B14114013,P3B141805700,7,10,,/,0,16,31,53,85,83,82,500,52,,600.2223046,600,470,2800,98,,,,437.7302874
P20326AN,3B14114015,P3B141902300,9,9,,,10,,30,50,80,,,500,35,,407.8383344,10,1350,3645,60,,,,155.77672
P91293AN,3B14123015,P3B141904900,2,3,,,0,,,,,,,,,,,500,1150,2800,65,,,,148.5309439
M5310PI,3B14124001,P3B141905100,3,4,,/,0,15,30,50,60,81,84,500,42,,,300,1400,3000,65,,,,0
PI50636AN,3B14120015,P3B142002900,1,2,,,0,11,32,52,80,103,103,500,42,,0,600,380,2800,98,,,,1029.637306
S91506FN,3B14120017,P3B142003100,2,3,,/,0,15,30,50,80,80,80,500,30,,,400,1150,2800,65,,,,
S91520FN,3B14120023,P3B142003600,2,3,,/,0,13,30,50,79,80,80,500,29,,232.3232323,400,850,2800,65,,,,0
P10057CN,3B14128009,P3B141906000,3,4,/,/,0,20,30,51,80,78,82,650,35,,,400,1400,2800,65,,,,0
S91503XN,3B14120022,P3B142003500,2,3,,/,0,15,30,50,55,53,59,500,38,,,600,1030,2800,65,,,,0
GN101TH,3B14128004,P3B142102900,1,2,,/,0,14,31,51,80,83,83,650,41,,960,500,325,3000,98,,,,
R91397TN,3B14129020,P3B142104100,2,3,,/,0,14,30,49,59,80,81,650,33,,,400,1120,3000,65,,,,
P70811BN,3B14114023,P3B141902700,11,14,,,0,13,30,51,81,80,81,500,43,,1669.902913,6,1400,3757,55,,,,142.4384525
M90067AN,3B14115014,P3B141903200,2,3,/,/,0,20,30,55,80,80,80,650,40,,440,500,1100,3000,65,,,,0
Y5310PI,3B14124010,P3B141905700,2,3,,/,0,14,30,48,59,78,80,650,33,,,400,1270,3000,65,,,,
LN207TH,3B14128003,P3B142005100,1,2,/,,0,9,30,50,80,80,80,500,45,,798.3623337,600,300,2600,98,,,,800
MA007TH,3B14129005,P3B142005300,7,10,,/,0,15,31,53,85,80,83,500,51,,0,200,550,3000,98,,,,585.7185899
GI313TH,3B14130006,P3B142104600,3,4,,/,0,15,35,52,61,79,85,500,35,,0,400,1050,3000,65,,,,0
EA203TH,3B14077014,P3B141700200,10,12,,,0,22,31,52,51,53,81,550,51,,328.0300839,500,1160,3000,65,,,,257.4174676
JI407TH,3B14119005,P3B141707600,2,3,,,0,20,30,50,60,80,80,500,48,,0,400,1000,2800,65,,,,338.1869422
S00500BN,3B14116011,P3B142001300,8,14,/,/,0,18,30,50,80,80,80,500,53,,,10,1300,3757,60,,,,0
S00331AN,3B14122002,P3B142003800,11,14,/,,0,18,30,50,80,80,80,500,54,,488.57,10,1350,3757,60,,,,0
M10080AN,3B14123009,P3B142004200,1,2,,,0,20,30,50,80,100,100,500,51,,124.137931,500,250,2600,98,,,,0
SZ307TH,3B14123014,P3B142004500,9,9,/,/,12,,30,50,80,,,500,54,,0,6,1600,3645,60,,,,0
YN304V,3B14128005,P3B142005200,1,2,/,/,0,,30,50,60,80,80,500,51,,1260,500,250,2600,98,,,,750
MA007TH,3B14129007,P3B142005500,7,10,/,/,0,15,31,51,84,82,80,500,53,,675,200,610,3000,98,,,,320
EN5058TH,3B14130012,P3B142104700,3,4,,,0,15,30,50,60,80,80,500,30,,0,400,820,3000,65,,,,
EA001TH,3B14116012,P3B142001400,8,14,,/,0,15,30,50,80,80,80,500,52,,690,5,1380,3645,60,,,,
YH70822KV,3B14120018,P3B142003200,11,14,,/,0,18,30,51,80,81,80,500,53,,,10,1340,3757,55,,,,
E91428XN,3B14128013,P3B142103400,3,4,,,0,15,30,50,50,50,50,500,30,,204,400,1070,2600,65,,,,0
P70814XN,3B14128016,P3B142103700,3,4,,/,0,20,30,49,50,51,82,500,42,,,500,1000,2800,65,,,,
S91442AN,3B14129017,P3B142104000,1,2,,/,0,18,32,53,78,83,83,500,52,,,500,400,3000,98,,,,505.7142857
S91467BN,3B14130010,P3B142202000,10,11,,,20,120,,100,,,,400,52,,,20,30,,30,,,,
